Column1;longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity
110;-121.78;37.97;4;17032;2546;7653;2359;5.5601;213700;INLAND
111;-117.74;33.62;16;4134;740;2103;745;5.6877;231400;<1H OCEAN
112;-118.14;34.68;25;1703;342;775;309;4.5455;126500;INLAND
113;-118.26;34.02;46;1249;357;1607;331;2.0703;114800;<1H OCEAN
114;-122.24;38.11;52;2050;492;1277;463;3.0507;107300;NEAR BAY
115;-118;34.12;42;870;170;546;164;4.625;173800;INLAND
116;-119.06;34.36;52;1239;320;934;298;1.8618;183300;<1H OCEAN
117;-122.25;37.81;39;854;242;389;228;3.125;237500;NEAR BAY
118;-118.43;33.99;45;2092;451;1190;429;3.8021;323000;<1H OCEAN
119;-121.98;37.27;25;3075;564;1633;543;5.2528;269400;<1H OCEAN
120;-122.41;37.63;39;4220;1055;2720;1046;2.639;242500;NEAR OCEAN
121;-118.42;34.05;38;4888;1126;1698;937;4.8304;500001;<1H OCEAN
122;-121.44;38.64;18;1756;442;837;320;1.125;70500;INLAND
123;-121.88;38.01;9;5329;1284;2827;1202;2.7374;150000;INLAND
124;-118.38;33.8;36;4421;702;1433;624;8.0838;500001;NEAR OCEAN
125;-117.13;32.73;52;2676;557;1181;537;3.6058;213100;NEAR OCEAN
126;-121.81;38.43;30;1674;297;756;292;3.9286;133100;INLAND
127;-118.31;34.06;24;1336;453;1268;426;2.8202;500001;<1H OCEAN
128;-123.26;41.86;25;2344;532;1117;424;2.7222;64600;INLAND
129;-122.66;38.48;21;2066;393;919;395;3.267;176200;<1H OCEAN
130;-122.19;37.77;41;2036;510;1412;454;2.0469;89300;NEAR BAY
131;-122.72;38.46;35;1445;309;795;308;2.9073;157000;<1H OCEAN
132;-118.49;34.26;27;2722;468;1164;419;4.6591;239900;<1H OCEAN
133;-121.95;37.24;32;1382;239;705;251;6.0957;405400;<1H OCEAN
134;-122.06;37.63;12;6711;1374;3388;1289;3.8625;208900;NEAR BAY
135;-118.13;34.02;40;2988;690;2144;667;2.3359;189300;<1H OCEAN
136;-118.3;33.73;40;2582;606;1304;588;3.5694;276400;NEAR OCEAN
137;-124.16;40.8;52;2416;618;1150;571;1.7308;80500;NEAR OCEAN
138;-117.92;33.73;14;5147;1182;3171;1126;3.9929;225800;<1H OCEAN
139;-117.06;33.17;4;5465;974;2844;950;4.4477;174800;<1H OCEAN
140;-118.4;33.88;36;1543;214;474;187;9.3399;500001;<1H OCEAN
141;-121.91;37.68;20;1804;254;831;260;6.177;262900;<1H OCEAN
142;-117.92;33.89;12;1859;393;622;316;5.0258;161800;<1H OCEAN
143;-121.34;38.61;22;1778;408;875;375;2.6023;142200;INLAND
144;-122.07;37.39;19;1465;342;646;345;4.712;289300;NEAR BAY
145;-122.08;37.04;34;2800;577;1353;512;4.1161;220900;NEAR OCEAN
146;-119.32;36.22;5;2319;438;1283;423;3.6343;95400;INLAND
147;-118.45;34.18;39;1810;388;839;380;3.7171;228800;<1H OCEAN
148;-118.52;34.2;19;4315;1304;2490;1222;2.6437;195000;<1H OCEAN
149;-118.05;34.05;36;1084;202;920;199;3.7279;162200;<1H OCEAN
150;-117.87;33.89;22;2340;664;1382;546;3.343;184600;<1H OCEAN
151;-118.18;34.03;39;609;145;690;134;2.9167;145800;<1H OCEAN
152;-122.48;38.51;49;1977;393;741;339;3.1312;247600;INLAND
153;-118.1;33.81;36;1962;325;786;315;5.62;239600;<1H OCEAN
154;-118.52;34.04;47;1985;315;819;340;6.5147;500001;<1H OCEAN
155;-117.23;32.72;43;952;209;392;210;2.1635;244200;NEAR OCEAN
156;-118.15;33.91;35;574;116;610;147;3.3182;133300;<1H OCEAN
157;-121.38;38.66;17;3778;939;2393;862;1.8972;100500;INLAND
158;-118.27;33.79;39;1513;365;1227;354;3.3929;184600;<1H OCEAN
159;-118.19;33.9;32;2762;652;2677;632;2.5719;105600;<1H OCEAN
160;-121.11;37.47;12;2263;410;913;330;3.5795;145600;INLAND
161;-117.25;34.16;31;1516;238;596;255;4.3362;159400;INLAND
162;-117.27;34.14;36;3795;676;1742;585;4.1;96400;INLAND
163;-117.13;32.92;16;1580;241;917;261;4.7266;191100;<1H OCEAN
164;-117.66;34.12;16;3853;541;1726;497;6.1195;251100;INLAND
165;-117.81;33.88;19;2968;503;1430;459;5.3339;371700;<1H OCEAN
166;-121.84;37.33;26;1934;408;2059;416;3.6765;163600;<1H OCEAN
167;-120.45;37.31;20;4379;753;2055;716;3.7652;133500;INLAND
168;-118.11;33.97;33;2125;500;1672;476;3.6397;166600;<1H OCEAN
169;-122.91;38.49;37;2469;519;1137;474;3.6343;146500;<1H OCEAN
170;-122.69;38.32;15;2536;414;1400;426;5.6613;172400;<1H OCEAN
171;-118.31;34.06;30;3110;1269;2535;1218;1.6987;412500;<1H OCEAN
172;-121.64;36.8;18;5915;1000;2975;975;4.5812;255200;<1H OCEAN
173;-119.06;34.35;34;2426;646;2116;631;2.0682;158300;<1H OCEAN
174;-122.17;37.75;43;1587;320;907;306;1.9821;98300;NEAR BAY
175;-118.28;33.99;52;1283;342;1363;329;2.5848;101900;<1H OCEAN
176;-118.52;34.25;11;7849;1664;3561;1500;4.6625;290900;<1H OCEAN
177;-121.41;38.34;24;1605;277;1966;250;3.0833;162500;INLAND
178;-119.9;37.49;13;2230;443;920;361;3;112000;INLAND
179;-117.99;33.9;33;2161;383;1235;383;5.6454;202800;<1H OCEAN
180;-121.97;37.76;8;3743;581;1633;567;6.7027;381900;<1H OCEAN
181;-119.78;38.69;17;1364;282;338;152;2.45;117600;INLAND
182;-118.02;33.77;33;2683;436;1520;456;5.0091;211500;<1H OCEAN
183;-118.19;33.87;35;1769;436;1166;386;2.875;178300;<1H OCEAN
184;-117.91;33.92;21;380;91;398;70;4.7222;208300;<1H OCEAN
185;-122.24;37.81;52;2093;550;918;483;2.7477;243800;NEAR BAY
186;-118.3;33.86;35;1511;274;853;308;4.9792;251300;<1H OCEAN
187;-119.74;36.72;25;3972;842;2863;729;2.1304;58500;INLAND
188;-117.98;34.53;13;2815;535;1492;491;4.0945;135700;INLAND
189;-122.41;37.76;52;1427;281;620;236;1.9944;262500;NEAR BAY
190;-122.03;37.61;36;1409;271;1002;281;3.7262;164900;NEAR BAY
191;-122.46;37.67;16;3372;1101;2049;1021;4.1303;146500;NEAR OCEAN
192;-121.48;38.55;52;2037;358;811;375;4.3929;162500;INLAND
193;-122.12;39.91;16;4006;797;2028;752;2.3929;77200;INLAND
194;-122.3;38.32;20;2063;486;1045;460;2.5035;153200;NEAR BAY
195;-121.86;39.78;12;7653;1578;3628;1494;3.0905;117800;INLAND
196;-116.99;32.72;13;1330;216;719;215;3.8295;149600;<1H OCEAN
197;-118.2;34.16;31;5550;881;2465;862;6.8317;446100;<1H OCEAN
198;-120.98;37.66;40;3012;616;1423;595;2.6346;100600;INLAND
199;-122.36;40.68;28;1745;379;1011;370;2.0391;59800;INLAND
200;-117.92;34.08;35;2108;408;1257;414;4.1312;185200;<1H OCEAN
201;-118.44;34.05;20;5943;1538;2492;1429;4.1141;305000;<1H OCEAN
202;-119.78;36.27;29;1871;315;1066;309;4.5714;100800;INLAND
203;-122.24;37.85;52;1467;190;496;177;7.2574;352100;NEAR BAY
204;-118.25;33.95;48;1766;424;1655;420;0.9751;95500;<1H OCEAN
205;-121.32;37.96;47;1700;344;922;357;3.1845;87200;INLAND
206;-121.82;37.25;16;2650;600;1969;586;3.9461;194300;<1H OCEAN
207;-118.29;33.98;48;1124;231;783;223;3.4444;93100;<1H OCEAN
208;-118.21;34.56;12;2472;408;1048;380;4.7097;262100;INLAND
209;-117.23;33.83;2;1424;251;681;192;4.0833;100000;INLAND
210;-122.55;37.9;34;1431;224;503;220;7.9606;453400;NEAR BAY
211;-119.4;36.04;39;915;199;580;175;1.8894;112500;INLAND
212;-122.59;37.99;36;4869;871;1899;827;4.1659;302000;NEAR BAY
213;-118.22;34.19;31;4704;920;1895;886;4.9297;400000;<1H OCEAN
214;-121.32;38.63;20;7003;1409;3107;1315;3.0348;150500;INLAND
215;-117.13;32.71;35;614;180;691;164;1.6953;81300;NEAR OCEAN
216;-121.51;36.86;36;1019;168;602;169;2.625;210000;INLAND
217;-117.95;33.92;13;2312;592;2038;559;3.1378;137000;<1H OCEAN
218;-118.59;34.23;14;4407;1209;2676;1128;3.4091;168800;<1H OCEAN
219;-118.33;33.89;39;1880;361;982;357;4.1953;226900;<1H OCEAN
220;-117.91;33.6;37;2088;510;673;390;5.1048;500001;<1H OCEAN
221;-118.29;33.95;32;721;205;842;208;1.6029;89700;<1H OCEAN
222;-118.42;34.27;37;1024;246;1371;239;3.225;147500;<1H OCEAN
223;-117.82;33.78;28;4485;667;2048;685;5.4562;274700;<1H OCEAN
224;-119.84;36.8;16;2849;506;1508;478;3.4074;72700;INLAND
225;-123.15;38.94;22;2163;436;1048;358;2.7171;95800;<1H OCEAN
226;-122.3;37.93;34;2254;357;715;306;4.5;304000;NEAR BAY
227;-117.92;33.93;12;4415;890;1532;854;3.75;166300;<1H OCEAN
228;-118.18;33.85;30;2548;717;2086;700;0.7007;134400;<1H OCEAN
229;-122.29;37.52;33;4104;751;1837;771;5.3506;388100;NEAR OCEAN
230;-122.19;38.07;20;3000;525;1207;491;4.6406;217500;NEAR BAY
231;-116.97;32.81;19;1573;471;844;414;2.1422;125000;<1H OCEAN
232;-117.91;33.65;24;885;321;590;254;2.625;217900;<1H OCEAN
233;-118.17;33.98;41;428;111;585;139;3.1786;132100;<1H OCEAN
234;-122.16;37.73;52;2260;416;994;412;4.1164;198200;NEAR BAY
235;-122.44;37.77;52;3505;745;1374;714;4.3667;500001;NEAR BAY
236;-117.06;32.57;17;2252;378;1776;365;4.6364;141100;NEAR OCEAN
237;-122.01;38.25;16;1081;181;792;184;4.6779;131300;INLAND
238;-119.75;36.8;25;2718;504;1257;465;2.3333;90600;INLAND
239;-118.53;34.37;8;3839;852;1342;593;3.9118;333700;<1H OCEAN
240;-122.18;37.41;21;1034;117;323;117;10.7237;500001;NEAR OCEAN
241;-121.66;36.89;15;2608;458;1531;457;5.5148;253500;<1H OCEAN
242;-117.95;33.66;22;2785;441;1086;392;7.3719;337400;<1H OCEAN
243;-117.32;34.49;7;4584;1051;2049;918;1.6232;93400;INLAND
244;-119.2;35.37;6;7383;1095;3415;1059;5.3119;157300;INLAND
245;-118.51;34.27;36;2276;429;1001;419;4.1042;252100;<1H OCEAN
246;-117.86;33.76;15;851;297;1326;254;2.8289;117500;<1H OCEAN
247;-122.07;37.58;16;1644;251;1033;267;6.5116;244300;NEAR BAY
248;-124.16;40.78;50;2285;403;837;353;2.5417;85400;NEAR OCEAN
249;-122.49;37.6;33;3507;669;1697;660;4.0795;270600;NEAR OCEAN
250;-117.94;33.62;28;1765;390;832;349;6.5928;439100;<1H OCEAN
251;-117.36;34.08;4;8866;1832;4775;1554;3.7348;125800;INLAND
252;-119.7;34.43;37;1462;306;678;322;5.1545;418400;<1H OCEAN
253;-122.45;37.74;38;5688;930;2263;908;6.203;346800;NEAR BAY
254;-117.67;33.61;23;3588;577;1695;569;6.1401;243200;<1H OCEAN
255;-121.86;37.41;16;2411;420;1671;442;6.5004;263600;<1H OCEAN
256;-118.94;34.18;25;3502;508;1713;508;5.5181;242100;<1H OCEAN
257;-118.37;34.16;17;4150;1148;1808;1041;3.5051;232400;<1H OCEAN
258;-122.41;37.6;26;2754;402;1128;395;6.3719;466900;NEAR OCEAN
259;-117.87;33.91;16;2434;455;1017;476;4.2188;176300;<1H OCEAN
260;-117.27;33;36;2426;454;1085;420;5.1523;387800;NEAR OCEAN
261;-119.51;34.46;28;3506;563;1362;483;6.091;500001;<1H OCEAN
262;-117.26;33.21;26;1906;408;1325;427;3.0197;136000;<1H OCEAN
263;-121.5;38.61;5;1395;373;638;322;2.6745;225000;INLAND
264;-120.31;37.29;40;1542;341;1283;341;1.6929;55900;INLAND
265;-121.99;37.27;17;1527;267;775;260;5.9658;278000;<1H OCEAN
266;-120.2;39.33;26;1988;379;905;321;3.7841;109500;INLAND
267;-118.98;35.37;36;1562;398;1223;329;0.9675;47100;INLAND
268;-119.29;34.23;22;2486;608;709;523;2.9018;275000;NEAR OCEAN
269;-118.24;34.15;20;2734;658;1562;607;3.3906;284100;<1H OCEAN
270;-118.29;34.06;46;1759;1012;2716;877;2.1637;350000;<1H OCEAN
271;-117.65;33.6;15;5736;536.9621513;2529;762;6.4114;278700;<1H OCEAN
272;-117.21;34.12;32;1677;354;1021;339;3.6853;90900;INLAND
273;-122.55;38.02;27;4985;711;1928;742;6.4978;361500;NEAR BAY
274;-122.23;37.79;43;5963;1344;4367;1231;2.1917;112800;NEAR BAY
275;-117.25;34.11;30;2173;560;1509;486;1.4079;67700;INLAND
276;-122.54;37.9;41;3170;622;1091;528;3.7813;389200;NEAR BAY
277;-121.48;38.58;52;576;146;273;127;2.01;94300;INLAND
278;-116.95;33.75;23;4676;1096;2770;1057;1.7847;109500;INLAND
279;-121.06;39.25;17;3127;539;1390;520;3.9537;172800;INLAND
280;-118.43;34.04;52;1782;308;735;307;5.2954;485100;<1H OCEAN
281;-118.47;34.01;44;2175;475;1019;448;4.793;470800;<1H OCEAN
282;-118.07;34.16;35;2459;438;970;437;4.2143;369400;INLAND
283;-119.39;36.64;38;949;190;578;187;2.3618;80000;INLAND
284;-118.48;34.02;30;2027;609;1425;562;2.2917;330800;<1H OCEAN
285;-122.07;37.92;26;3872;739;1629;684;4.4312;225000;NEAR BAY
286;-120.51;35.91;39;768;162;264;118;5.3245;250000;INLAND
287;-118.14;33.84;45;1908;361;890;342;4.575;336000;<1H OCEAN
288;-121.9;36.61;29;3412;827;1574;759;2.9309;217100;NEAR OCEAN
289;-117.82;33.76;33;2774;428;1229;407;6.2944;265600;<1H OCEAN
290;-121.84;39.73;52;677;152;379;154;1.6797;94800;INLAND
291;-122.46;40.52;13;2085;322;1077;333;5.2149;146500;INLAND
292;-118.12;34.19;52;2405;299;970;319;8.7835;444100;INLAND
293;-118.13;34.19;43;1621;365;1015;329;2.92;242200;INLAND
294;-121.24;37.97;47;886;196;517;188;2.1991;67200;INLAND
295;-117.6;33.87;18;6450;1165;3716;1113;4.2721;150300;INLAND
296;-120.43;34.89;30;1979;342;999;320;5.0286;158000;<1H OCEAN
297;-122.22;37.48;47;2570;783;3107;724;2.8058;229500;NEAR OCEAN
298;-122.03;37.55;26;3087;532;1597;483;4.9118;217300;NEAR BAY
299;-117.69;34.05;10;1875;366;1055;363;4.3264;128900;INLAND
300;-117.63;34.12;4;4323;775;1479;663;6.0758;226800;INLAND
301;-122.38;37.91;18;3507;711;1224;676;5.0524;269800;NEAR BAY
302;-118.2;33.99;35;1608;465;2140;488;3.1979;154700;<1H OCEAN
303;-122.14;37.43;18;2060;563;1144;600;4.0686;378600;NEAR BAY
304;-117.02;32.78;31;2567;536.9621513;1198;499;3.4659;163000;<1H OCEAN
305;-119.23;34.42;16;630;117;343;100;5.75;325000;<1H OCEAN
306;-118.41;34.16;32;3060;505;1159;510;6.3703;465800;<1H OCEAN
307;-117.78;33.68;15;1834;330;841;309;6.0634;234300;<1H OCEAN
308;-117.31;34.04;29;2481;383;1188;385;4.7344;134600;INLAND
309;-117.11;34.43;14;3026;556;1349;485;2.8021;111200;INLAND
310;-118.29;34.16;35;1257;318;764;319;3.2083;238000;<1H OCEAN
311;-122.73;38.46;14;2324;754;1026;677;1.722;150000;<1H OCEAN
312;-122.07;37.59;13;2578;551;1680;528;4.825;222000;NEAR BAY
313;-115.32;32.82;34;591;139;327;89;3.6528;100000;INLAND
314;-117.96;34.14;9;907;207;619;194;3.9464;179600;INLAND
315;-121.89;37.32;34;1014;246;952;215;2.8864;172500;<1H OCEAN
316;-115.57;32.8;33;1192;213;1066;211;4.5714;68600;INLAND
317;-122.86;39.05;20;1592;327;647;253;2.5326;136800;INLAND
318;-120.83;37.58;30;1527;256;757;240;3.6629;171400;INLAND
319;-122.49;37.76;49;1637;304;729;281;4.3281;323100;NEAR BAY
320;-122.31;37.53;39;1160;191;508;185;5.9539;379100;NEAR OCEAN
321;-117.1;32.69;11;3071;911;2812;774;1.2413;83100;NEAR OCEAN
322;-117.55;33.83;6;502;76;228;65;4.2386;500001;INLAND
323;-123.19;39.12;38;267;57;196;60;2.3125;70000;<1H OCEAN
324;-117.92;33.57;37;3355;492;921;366;7.2988;500001;NEAR OCEAN
325;-121.93;37.32;52;1460;492;1165;455;2.5833;167500;<1H OCEAN
326;-122.31;37.54;49;1340;281;660;284;4.163;393800;NEAR OCEAN
327;-117.14;32.72;42;1558;458;1227;407;2.2804;139100;NEAR OCEAN
328;-117.42;34.06;27;2532;495;1305;436;2.9107;143100;INLAND
329;-118.23;34.13;48;737;166;462;131;3.5893;212500;<1H OCEAN
330;-118.63;34.16;30;3346;487;1296;495;7.457;392700;<1H OCEAN
331;-118.37;34.13;28;4287;627;1498;615;8.5677;500001;<1H OCEAN
332;-119.69;34.42;52;302;112;392;114;2.5978;258300;<1H OCEAN
333;-124.1;40.73;33;644;129;334;121;3.9659;111800;NEAR OCEAN
334;-122.02;37.54;31;1240;264;719;236;3.535;210300;NEAR BAY
335;-119.88;36.81;30;2288;474;1435;425;1.3221;61200;INLAND
336;-122.11;37.69;37;2444;651;1562;618;2.6464;155200;NEAR BAY
337;-118.43;34.25;35;1447;335;1630;306;2.9205;143100;<1H OCEAN
338;-119.25;34.3;34;1189;220;445;203;4.8824;396400;NEAR OCEAN
339;-122.41;37.8;52;3697;837;1446;711;5.866;500001;NEAR BAY
340;-122.1;37.65;31;1797;327;796;319;4.4427;204500;NEAR BAY
341;-118.07;33.92;36;1560;320;1348;314;3.622;174000;<1H OCEAN
342;-120.04;36.96;23;2126;506;2091;491;1.3713;51800;INLAND
343;-118.35;34.04;45;1579;357;713;335;2.1711;179200;<1H OCEAN
344;-121.96;37.99;2;3129;707;1606;698;2.9591;210100;INLAND
345;-122.26;37.77;52;1210;168;411;172;3.3571;405400;NEAR BAY
346;-118.41;34.17;27;3277;648;1382;615;3.875;366100;<1H OCEAN
347;-119.83;34.45;24;2168;373;934;366;5.4197;280900;NEAR OCEAN
348;-118.46;34.17;22;6707;1737;2620;1610;3.1478;273700;<1H OCEAN
349;-117.91;33.61;38;1232;178;410;171;11.075;500001;<1H OCEAN
350;-117.21;33.95;5;8403;1240;3962;1150;5.2174;155500;INLAND
351;-118.52;34.27;36;3204;538;1499;499;5.5649;271200;<1H OCEAN
352;-118.4;34.21;30;2453;544;1753;506;2.9803;191500;<1H OCEAN
353;-118.16;34.07;41;247;55;925;50;3.5769;135700;<1H OCEAN
354;-121.98;37.8;16;2498;330;1027;343;8.155;343700;<1H OCEAN
355;-117.87;34.14;30;2495;586;1139;559;2.9375;209200;INLAND
356;-122.3;41.31;29;4059;787;1700;702;2.4526;97100;INLAND
357;-119.2;36.28;22;2295;508;1654;478;1.684;65900;INLAND
358;-118.36;33.99;45;2005;368;909;364;4.6406;268900;<1H OCEAN
359;-118.41;34.2;32;2734;654;2209;610;3.5164;217200;<1H OCEAN
360;-117.28;32.77;38;1267;340;442;250;4.3403;500000;NEAR OCEAN
